��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:05:46,16.10.2018 21:05:46,0:00:00,"HRVATSKA: ZAGREB, DOMAINOVIEVA",0,0,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:05:46,16.10.2018 21:05:46,,ROMIH: Zg: (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:05:46,16.10.2018 21:05:46,,ROMIH: Zg: GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:07:28,16.10.2018 21:13:54,0:06:26,"HRVATSKA: ZAGREB, ",0,1.258,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:15:39,16.10.2018 21:16:34,0:00:55,"HRVATSKA: ZAGREB, MARETIEVA ULICA",0,1.548,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:15:39,16.10.2018 21:16:34,,AUTO KUA `TARKELJ: Zg: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:15:39,16.10.2018 21:16:34,,AUTO KUA `TARKELJ: Zg: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:18:16,16.10.2018 21:19:04,0:00:48,"HRVATSKA: ZAGREB, ",0,1.948,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:23:14,16.10.2018 21:24:06,0:00:52,"HRVATSKA: ZAGREB, SLAVONSKA AVENIJA",0,4.346,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:28:41,16.10.2018 21:29:22,0:00:41,"HRVATSKA: IVANJA REKA, SLAVONSKA AVENIJA",0,5.335,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:28:41,16.10.2018 21:29:22,,"Motiro RB vulkanizacija, Ivanja Reka",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:40:39,16.10.2018 23:15:22,1:34:43,"HRVATSKA: RUGVICA, DUGOSELSKA ULICA",0,11.791,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 21:40:39,16.10.2018 23:15:22,,"Rugvica, Skladia",,,
"e TRAST""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 23:40:47,16.10.2018 23:42:00,0:01:13,"HRVATSKA: LUKO, PU`KARIEVA",0,32.931,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 23:51:23,16.10.2018 23:53:10,0:01:47,"HRVATSKA: GORNJI STUPNIK, GORNJOSTUPNIKA",0,6.936,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 23:51:23,16.10.2018 23:53:10,,"C.I.A.K. Auto, Gornji Stupnik, Fiat",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,16.10.2018,1:47:25,0,72.477,5,KA 411-HT,,16.10.2018 23:59:53,16.10.2018 23:59:53,0:00:00,"HRVATSKA: GALGOVO, ULICA STARA KARLOVAKA",0,6.384,
